Description,Avg_Monthly_Quantity,Std_Monthly_Quantity,Total_Value,Months_Active,Zero_Sales_Ratio,Last_Sale_Months_Ago,CV_Monthly_Quantity,Adj_Discount,Avg_Price_Est,Discounted_Price,Projected_Units,Current_Revenue,Projected_Revenue,Revenue_Lift,Current_Gross_Profit,Projected_Gross_Profit,Gross_Profit_Delta,Strategy
*Boombox Ipod Classic,1.0,,16.98,1,0.0,0,,0.3,16.98,11.89,2.0,16.98,23.77,6.79,5.09,7.13,2.04,Clearance Discount
"BISCUIT TIN, MINT,IVORY, VINTAGE",1.0,,6.75,1,0.0,2,,0.3,6.75,4.72,2.0,6.75,9.45,2.7,2.02,2.83,0.81,Clearance Discount
BLUE WHITE PLASTIC RINGS LAMPSHADE,1.0,,0.85,1,0.0,5,,0.3,0.85,0.59,2.0,0.85,1.19,0.34,0.26,0.36,0.1,Clearance Discount
CAT W SUNGLASSES BLANK CARD,4.0,,0.76,1,0.0,4,,0.3,0.19,0.13,5.44,0.76,0.72,-0.04,0.23,0.22,-0.01,Bundle / Placement Test
CHAMPAGNE TRAY BLANK CARD,1.0,,0.19,1,0.0,7,,0.35,0.19,0.12,2.0,0.19,0.25,0.06,0.06,0.07,0.02,Clearance Discount
HAPPY BIRTHDAY CARD TEDDY/CAKE,5.0,,0.95,1,0.0,4,,0.3,0.19,0.13,6.8,0.95,0.9,-0.05,0.28,0.27,-0.01,Bundle / Placement Test
HAPPY BIRTHDAY GINGER CAT CARD,2.0,,0.38,1,0.0,9,,0.35,0.19,0.12,3.0,0.38,0.37,-0.01,0.11,0.11,-0.0,Clearance Discount
PADS TO MATCH ALL CUSHIONS,2.3333333333333335,1.8618986725025255,0.014,6,0.0,1,0.7979565739296537,0.3,0.0,0.0,3.33,0.0,0.0,0.0,0.0,0.0,0.0,Clearance Discount
PINK HEART CHRISTMAS DECORATION,1.0,,0.38,1,0.0,12,,0.35,0.38,0.25,2.0,0.38,0.49,0.11,0.11,0.15,0.03,Clearance Discount
PURPLE CRYSTAL DROP EARRINGS,1.0,,2.96,1,0.0,9,,0.35,2.96,1.92,2.0,2.96,3.85,0.89,0.89,1.15,0.27,Clearance Discount
RAIN GIRL CHILDS UMBRELLA,1.0,,3.25,1,0.0,12,,0.35,3.25,2.11,2.0,3.25,4.23,0.98,0.97,1.27,0.29,Clearance Discount
RED HEART CANDY POP LIGHTS,1.0,,4.95,1,0.0,11,,0.35,4.95,3.22,2.0,4.95,6.44,1.49,1.49,1.93,0.45,Clearance Discount
ROAD-RAGE CAR FRESHENER,1.0,,2.51,1,0.0,2,,0.3,2.51,1.76,2.0,2.51,3.51,1.0,0.75,1.05,0.3,Clearance Discount
ROSE PINK PENDANT SHELL NECKLACE,1.0,,5.09,1,0.0,1,,0.3,5.09,3.56,2.0,5.09,7.13,2.04,1.53,2.14,0.61,Clearance Discount
"RUBY GLASS NECKLACE 42""",1.0,,7.5,1,0.0,3,,0.3,7.5,5.25,2.0,7.5,10.5,3.0,2.25,3.15,0.9,Clearance Discount
RUSSIAN FOLKART STACKING TINS,1.0,,4.95,1,0.0,11,,0.35,4.95,3.22,2.0,4.95,6.44,1.49,1.49,1.93,0.45,Clearance Discount
S/3 ROSE GARDEN SCENT SQU CANDLE,1.0,,1.65,1,0.0,11,,0.35,1.65,1.07,2.0,1.65,2.15,0.5,0.49,0.64,0.15,Clearance Discount
"SILICON CUBE 25W, BLUE",1.0,,0.42,1,0.0,0,,0.3,0.42,0.29,2.0,0.42,0.59,0.17,0.13,0.18,0.05,Clearance Discount
SMALL FOLKART CHRISTMAS TREE DEC,1.0,,0.42,1,0.0,7,,0.35,0.42,0.27,2.0,0.42,0.55,0.13,0.13,0.16,0.04,Clearance Discount
UBO-LIGHT TRIOBASE BLUE,1.0,,0.85,1,0.0,10,,0.35,0.85,0.55,2.0,0.85,1.1,0.26,0.26,0.33,0.08,Clearance Discount
