YearMonth,Description,Month_Value,Month_Quantity,Orders
2009-12-01,PINK HEART CHRISTMAS DECORATION,0.38,1,1
2009-12-01,RAIN GIRL CHILDS UMBRELLA,3.25,1,1
2010-01-01,PADS TO MATCH ALL CUSHIONS,0.002,2,2
2010-01-01,RED HEART CANDY POP LIGHTS,4.95,1,1
2010-01-01,RUSSIAN FOLKART STACKING TINS,4.95,1,1
2010-01-01,S/3 ROSE GARDEN SCENT SQU CANDLE,1.65,1,1
2010-02-01,PADS TO MATCH ALL CUSHIONS,0.006,6,6
2010-02-01,UBO-LIGHT TRIOBASE BLUE,0.85,1,1
2010-03-01,HAPPY BIRTHDAY GINGER CAT CARD,0.38,2,1
2010-03-01,PADS TO MATCH ALL CUSHIONS,0.001,1,1
2010-03-01,PURPLE CRYSTAL DROP EARRINGS,2.96,1,1
2010-04-01,PADS TO MATCH ALL CUSHIONS,0.002,2,2
2010-05-01,CHAMPAGNE TRAY BLANK CARD,0.19,1,1
2010-05-01,SMALL FOLKART CHRISTMAS TREE DEC,0.42,1,1
2010-07-01,BLUE WHITE PLASTIC RINGS LAMPSHADE,0.85,1,1
2010-08-01,CAT W SUNGLASSES BLANK CARD,0.76,4,1
2010-08-01,HAPPY BIRTHDAY CARD TEDDY/CAKE,0.95,5,2
2010-09-01,PADS TO MATCH ALL CUSHIONS,0.001,1,1
2010-09-01,"RUBY GLASS NECKLACE 42""",7.5,1,1
2010-10-01,"BISCUIT TIN, MINT,IVORY, VINTAGE",6.75,1,1
2010-10-01,ROAD-RAGE CAR FRESHENER,2.51,1,1
2010-11-01,PADS TO MATCH ALL CUSHIONS,0.002,2,2
2010-11-01,ROSE PINK PENDANT SHELL NECKLACE,5.09,1,1
2010-12-01,*Boombox Ipod Classic,16.98,1,1
2010-12-01,"SILICON CUBE 25W, BLUE",0.42,1,1
