Description,Peak_Month_Number,Peak_Month_Name,Promo_Preparation_Month_Number,Promo_Preparation_Month_Name,Last_Month_Quantity,Last_Month_Value,Avg_Monthly_Quantity,Avg_Monthly_Value,Months_Available
60 TEATIME FAIRY CAKE CASES,2,February,1,January,510.0,280.71000000000004,2745.6923076923076,1365.6615384615386,13
ASSORTED COLOUR BIRD ORNAMENT,11,November,10,October,1516.0,2506.84,3305.923076923077,5330.446153846154,13
BROCADE RING PURSE,9,September,8,August,1025.0,182.32999999999998,3698.5384615384614,681.5853846153847,13
DOTCOM POSTAGE,3,March,2,February,21.0,12803.37,54.53846153846154,8367.533076923077,13
JUMBO BAG RED RETROSPOT,9,September,8,August,1418.0,2566.8,3850.625,7074.43875,8
Manual,3,March,2,February,119.0,1101.39,217.23076923076923,20226.336153846154,13
PACK OF 60 PINK PAISLEY CAKE CASES,8,August,7,July,564.0,331.9,2400.6153846153848,1219.0546153846155,13
PACK OF 72 RETRO SPOT CAKE CASES,4,April,3,March,,,3735.1666666666665,1917.0525,12
PAPER CHAIN KIT 50'S CHRISTMAS,11,November,10,October,1455.0,5257.35,1240.0,4288.3775,12
PARTY BUNTING,5,May,4,April,162.0,791.07,770.7692307692307,3798.597692307693,13
POSTAGE,11,November,10,October,98.0,1915.0,172.69230769230768,3672.4261538461537,13
REGENCY CAKESTAND 3 TIER,11,November,10,October,1058.0,13478.98,1369.8,17007.851,10
ROTATING SILVER ANGELS T-LIGHT HLDR,11,November,10,October,1092.0,3087.32,1763.9166666666667,3645.5424999999996,12
SMALL POPCORN HOLDER,11,November,10,October,1361.0,1368.1399999999999,2708.0,2457.7254545454543,11
STRAWBERRY CERAMIC TRINKET BOX,11,November,10,October,904.0,1359.91,1963.3846153846155,2495.080769230769,13
WHITE HANGING HEART T-LIGHT HOLDER,11,November,10,October,1905.0,5592.13,4205.7692307692305,11515.982307692308,13
WORLD WAR 2 GLIDERS ASSTD DESIGNS,11,November,10,October,3759.0,752.37,4129.846153846154,856.976923076923,13
