Description,Total_Value,Total_Quantity,Orders,Avg_Price
WHITE HANGING HEART T-LIGHT HOLDER,149707.77,54675,3162,3.0835991510006067
WORLD WAR 2 GLIDERS ASSTD DESIGNS,11140.699999999999,53688,484,0.24527607361963188
BROCADE RING PURSE,8860.61,48081,223,0.23951541850220262
PACK OF 72 RETRO SPOT CAKE CASES,23004.63,44822,1340,0.6651552346570397
ASSORTED COLOUR BIRD ORNAMENT,69295.8,42977,1356,1.9536664270309128
60 TEATIME FAIRY CAKE CASES,17753.600000000002,35694,1293,0.6483049592894152
PACK OF 60 PINK PAISLEY CAKE CASES,15847.710000000001,31208,1122,0.688409680207433
JUMBO BAG RED RETROSPOT,56595.51,30805,1246,2.221555903049257
SMALL POPCORN HOLDER,27034.98,29788,882,1.018026460859978
STRAWBERRY CERAMIC TRINKET BOX,32436.05,25524,1552,1.46610734114744
