Description,Total_Value,Total_Quantity,Orders,Avg_Price
Manual,262942.37,2824,511,471.6952441229656
REGENCY CAKESTAND 3 TIER,170078.50999999998,13698,2019,14.370988258317025
WHITE HANGING HEART T-LIGHT HOLDER,149707.77,54675,3162,3.0835991510006067
DOTCOM POSTAGE,108777.93000000001,709,709,153.42444287729197
ASSORTED COLOUR BIRD ORNAMENT,69295.8,42977,1356,1.9536664270309128
JUMBO BAG RED RETROSPOT,56595.51,30805,1246,2.221555903049257
PAPER CHAIN KIT 50'S CHRISTMAS,51460.53,14880,849,3.3486907449209933
PARTY BUNTING,49381.770000000004,10020,1000,5.610901077375123
POSTAGE,47741.54,2245,736,26.293872282608696
ROTATING SILVER ANGELS T-LIGHT HLDR,43746.51,21167,311,3.2155927051671727
