YearMonth,Description,Month_Value,Month_Quantity,Orders
2009-12-01,60 TEATIME FAIRY CAKE CASES,521.28,1014,46
2009-12-01,ASSORTED COLOUR BIRD ORNAMENT,3826.74,2271,51
2009-12-01,BROCADE RING PURSE,108.22,508,14
2009-12-01,DOTCOM POSTAGE,10943.8,28,28
2009-12-01,Manual,2187.68,17,12
2009-12-01,PACK OF 60 PINK PAISLEY CAKE CASES,263.8,463,36
2009-12-01,PACK OF 72 RETRO SPOT CAKE CASES,1503.7,3073,69
2009-12-01,PAPER CHAIN KIT 50'S CHRISTMAS,3446.54,1018,76
2009-12-01,PARTY BUNTING,291.75,55,16
2009-12-01,POSTAGE,1188.95,60,19
2009-12-01,ROTATING SILVER ANGELS T-LIGHT HLDR,116.15,25,8
2009-12-01,STRAWBERRY CERAMIC TRINKET BOX,2294.7,1762,80
2009-12-01,WHITE HANGING HEART T-LIGHT HOLDER,6434.59,2328,151
2009-12-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,273.0,1300,19
2010-01-01,60 TEATIME FAIRY CAKE CASES,1470.03,2997,87
2010-01-01,ASSORTED COLOUR BIRD ORNAMENT,2634.61,1509,58
2010-01-01,BROCADE RING PURSE,201.81,961,10
2010-01-01,DOTCOM POSTAGE,11340.51,46,46
2010-01-01,Manual,15621.170000000002,16,14
2010-01-01,PACK OF 60 PINK PAISLEY CAKE CASES,1115.95,2218,70
2010-01-01,PACK OF 72 RETRO SPOT CAKE CASES,1980.23,3924,120
2010-01-01,PAPER CHAIN KIT 50'S CHRISTMAS,113.42,23,11
2010-01-01,PARTY BUNTING,1585.3,346,43
2010-01-01,POSTAGE,2690.0,134,33
2010-01-01,ROTATING SILVER ANGELS T-LIGHT HLDR,50.599999999999994,10,3
2010-01-01,STRAWBERRY CERAMIC TRINKET BOX,2539.7000000000003,2124,98
2010-01-01,WHITE HANGING HEART T-LIGHT HOLDER,14706.69,5486,263
2010-01-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,285.75,1443,17
2010-02-01,60 TEATIME FAIRY CAKE CASES,1700.73,3647,89
2010-02-01,ASSORTED COLOUR BIRD ORNAMENT,2699.55,1667,65
2010-02-01,BROCADE RING PURSE,326.17,1895,13
2010-02-01,DOTCOM POSTAGE,6443.5,50,50
2010-02-01,Manual,4573.1,62,26
2010-02-01,PACK OF 60 PINK PAISLEY CAKE CASES,1194.52,2439,78
2010-02-01,PACK OF 72 RETRO SPOT CAKE CASES,2064.16,4267,122
2010-02-01,PARTY BUNTING,1689.6200000000001,342,66
2010-02-01,POSTAGE,2720.0,136,51
2010-02-01,ROTATING SILVER ANGELS T-LIGHT HLDR,15.18,3,1
2010-02-01,SMALL POPCORN HOLDER,940.71,1295,10
2010-02-01,STRAWBERRY CERAMIC TRINKET BOX,1862.7,1470,108
2010-02-01,WHITE HANGING HEART T-LIGHT HOLDER,8030.57,2911,205
2010-02-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,504.0,2400,38
2010-03-01,60 TEATIME FAIRY CAKE CASES,1447.65,2878,116
2010-03-01,ASSORTED COLOUR BIRD ORNAMENT,5229.57,3333,126
2010-03-01,BROCADE RING PURSE,172.89000000000001,997,10
2010-03-01,DOTCOM POSTAGE,9993.76,71,71
2010-03-01,Manual,54911.62,733,79
2010-03-01,PACK OF 60 PINK PAISLEY CAKE CASES,1178.7,2376,103
2010-03-01,PACK OF 72 RETRO SPOT CAKE CASES,2389.2400000000002,4643,155
2010-03-01,PAPER CHAIN KIT 50'S CHRISTMAS,59.03000000000001,17,5
2010-03-01,PARTY BUNTING,4791.33,921,122
2010-03-01,POSTAGE,3888.35,224,63
2010-03-01,REGENCY CAKESTAND 3 TIER,9890.609999999999,751,125
2010-03-01,ROTATING SILVER ANGELS T-LIGHT HLDR,10.2,4,1
2010-03-01,SMALL POPCORN HOLDER,1389.65,1176,53
2010-03-01,STRAWBERRY CERAMIC TRINKET BOX,2888.83,2393,147
2010-03-01,WHITE HANGING HEART T-LIGHT HOLDER,14252.4,5076,269
2010-03-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,880.47,4563,36
2010-04-01,60 TEATIME FAIRY CAKE CASES,1608.0800000000002,3195,108
2010-04-01,ASSORTED COLOUR BIRD ORNAMENT,4734.41,2793,100
2010-04-01,BROCADE RING PURSE,154.05,901,8
2010-04-01,DOTCOM POSTAGE,4786.15,62,62
2010-04-01,Manual,23371.46,387,55
2010-04-01,PACK OF 60 PINK PAISLEY CAKE CASES,1400.94,2822,100
2010-04-01,PACK OF 72 RETRO SPOT CAKE CASES,2599.02,5365,131
2010-04-01,PAPER CHAIN KIT 50'S CHRISTMAS,56.050000000000004,19,2
2010-04-01,PARTY BUNTING,7018.85,1489,146
2010-04-01,POSTAGE,3718.0,168,51
2010-04-01,REGENCY CAKESTAND 3 TIER,14383.09,1167,230
2010-04-01,ROTATING SILVER ANGELS T-LIGHT HLDR,15.299999999999999,6,1
2010-04-01,SMALL POPCORN HOLDER,1200.48,1509,58
2010-04-01,STRAWBERRY CERAMIC TRINKET BOX,1733.15,1375,100
2010-04-01,WHITE HANGING HEART T-LIGHT HOLDER,10063.26,3702,227
2010-04-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,743.04,3744,33
2010-05-01,60 TEATIME FAIRY CAKE CASES,1708.64,3541,109
2010-05-01,ASSORTED COLOUR BIRD ORNAMENT,3584.72,2168,102
2010-05-01,BROCADE RING PURSE,654.58,3970,14
2010-05-01,DOTCOM POSTAGE,5412.17,65,65
2010-05-01,JUMBO BAG RED RETROSPOT,2501.3,1398,65
2010-05-01,Manual,5085.46,219,30
2010-05-01,PACK OF 60 PINK PAISLEY CAKE CASES,1278.89,2559,89
2010-05-01,PACK OF 72 RETRO SPOT CAKE CASES,2150.42,4336,144
2010-05-01,PAPER CHAIN KIT 50'S CHRISTMAS,155.1,58,5
2010-05-01,PARTY BUNTING,9681.51,2151,179
2010-05-01,POSTAGE,3201.0,133,43
2010-05-01,REGENCY CAKESTAND 3 TIER,6771.879999999999,540,127
2010-05-01,SMALL POPCORN HOLDER,651.5799999999999,774,55
2010-05-01,STRAWBERRY CERAMIC TRINKET BOX,2691.17,2245,122
2010-05-01,WHITE HANGING HEART T-LIGHT HOLDER,11967.49,4435,246
2010-05-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,626.88,3232,30
2010-06-01,60 TEATIME FAIRY CAKE CASES,1649.63,3385,114
2010-06-01,ASSORTED COLOUR BIRD ORNAMENT,3065.66,1862,86
2010-06-01,BROCADE RING PURSE,584.4,3350,30
2010-06-01,DOTCOM POSTAGE,4930.22,68,68
2010-06-01,JUMBO BAG RED RETROSPOT,7789.66,4303,198
2010-06-01,Manual,43179.57,332,44
2010-06-01,PACK OF 60 PINK PAISLEY CAKE CASES,1588.57,3223,97
2010-06-01,PACK OF 72 RETRO SPOT CAKE CASES,2371.2200000000003,4684,170
2010-06-01,PAPER CHAIN KIT 50'S CHRISTMAS,1001.02,378,12
2010-06-01,PARTY BUNTING,6185.99,1261,114
2010-06-01,POSTAGE,3565.2,166,52
2010-06-01,REGENCY CAKESTAND 3 TIER,16590.28,1356,232
2010-06-01,ROTATING SILVER ANGELS T-LIGHT HLDR,15.18,3,1
2010-06-01,SMALL POPCORN HOLDER,1400.43,1754,92
2010-06-01,STRAWBERRY CERAMIC TRINKET BOX,2538.83,2095,132
2010-06-01,WHITE HANGING HEART T-LIGHT HOLDER,11849.31,4364,259
2010-06-01,WORLD WAR 2 GLIDERS ASSTD DESIGNS,1058.3999999999999,5404,54
2010-07-01,60 TEATIME FAIRY CAKE CASES,1227.52,2270,104
