Description,Peak_Month_Number,Peak_Month_Name,Promo_Preparation_Month_Number,Promo_Preparation_Month_Name,Last_Month_Quantity,Last_Month_Value,Avg_Monthly_Quantity,Avg_Monthly_Value,Months_Available,History_Months,Forecast_Quantity,Forecast_Method,Safety_Stock,Suggested_Stock,Reorder_Flag,Priority_Rank
Manual,3,March,2,February,119.0,1101.39,217.23076923076923,20226.336153846158,13,13,224.0,3M_Average,149.2,373.2,1,1.0
REGENCY CAKESTAND 3 TIER,11,November,10,October,1058.0,13478.98,1369.8,17007.851,10,10,1744.33,3M_Average,495.51,2239.84,1,2.0
WHITE HANGING HEART T-LIGHT HOLDER,11,November,10,October,1905.0,5592.13,4205.769230769231,11515.982307692308,13,13,4395.0,3M_Average,1950.18,6345.18,1,3.0
DOTCOM POSTAGE,3,March,2,February,21.0,12803.37,54.53846153846154,8367.533076923077,13,13,45.33,3M_Average,17.25,62.58,1,4.0
JUMBO BAG RED RETROSPOT,9,September,8,August,1418.0,2566.8,3850.625,7074.43875,8,8,4099.0,3M_Average,2062.66,6161.66,1,5.0
ASSORTED COLOUR BIRD ORNAMENT,11,November,10,October,1516.0,2506.84,3305.923076923077,5330.446153846154,13,13,5599.0,3M_Average,3184.77,8783.77,1,6.0
PAPER CHAIN KIT 50'S CHRISTMAS,11,November,10,October,1455.0,5257.35,1240.0,4288.3775,12,12,3895.33,3M_Average,2448.49,6343.83,1,7.0
PARTY BUNTING,5,May,4,April,162.0,791.07,770.7692307692307,3798.597692307693,13,13,560.67,3M_Average,326.19,886.86,1,8.0
POSTAGE,11,November,10,October,98.0,1915.0,172.69230769230768,3672.4261538461537,13,13,251.33,3M_Average,112.78,364.11,1,9.0
ROTATING SILVER ANGELS T-LIGHT HLDR,11,November,10,October,1092.0,3087.32,1763.9166666666667,3645.5425,12,12,6057.0,3M_Average,4742.81,10799.81,1,10.0
STRAWBERRY CERAMIC TRINKET BOX,11,November,10,October,904.0,1359.91,1963.3846153846157,2495.080769230769,13,13,2098.0,3M_Average,855.36,2953.36,1,11.0
SMALL POPCORN HOLDER,11,November,10,October,1361.0,1368.14,2708.0,2457.7254545454543,11,11,5223.33,3M_Average,3194.48,8417.82,1,12.0
PACK OF 72 RETRO SPOT CAKE CASES,4,April,3,March,,,3735.1666666666665,1917.0525,12,12,1763.0,3M_Average,1656.36,3419.36,1,13.0
60 TEATIME FAIRY CAKE CASES,2,February,1,January,510.0,280.71000000000004,2745.692307692308,1365.6615384615386,13,13,2060.33,3M_Average,1176.63,3236.97,1,14.0
PACK OF 60 PINK PAISLEY CAKE CASES,8,August,7,July,564.0,331.9,2400.6153846153848,1219.0546153846155,13,13,2293.67,3M_Average,1223.87,3517.53,1,15.0
WORLD WAR 2 GLIDERS ASSTD DESIGNS,11,November,10,October,3759.0,752.37,4129.846153846154,856.976923076923,13,13,6330.33,3M_Average,2437.89,8768.22,1,16.0
BROCADE RING PURSE,9,September,8,August,1025.0,182.33,3698.538461538461,681.5853846153847,13,13,6144.33,3M_Average,3950.98,10095.32,1,17.0
