,INSIGHT : CUSTOMER PROMOTION DATASET BASED ON LAST PURCHASE,,,,,,,,,,,,,,,,,
Customer_ID,Frequency,Recency,Monetary,AOV,PF,Profit Margin,CLTV,CLTV_Segment,Predicted_CLTV,Churn_Prob,Last_Purchase_Date,Last_Product,Days_Since_Last_Purchase,CLTV_Segment_Label,Value_Tier,At_Risk,Promotion_Class,Suggested_Offer_Text
12346,11,196,372.86,33.90,0.06,0.1,69.44,D,-0.54,0.98,28-06-2010 13:53,DOORMAT UNION FLAG,165,D,Low,1,WINBACK,Reactivate: 20% comeback code
12347,2,37,1323.32,661.66,0.05,0.1,1305.44,A,1168.12,0,07-12-2010 14:57,COLOUR GLASS. STAR T-LIGHT HOLDER,3,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12349,3,181,2671.14,890.38,0.02,0.1,538.66,B,1065.28,1,28-10-2010 08:23,DOORMAT WELCOME PUPPIES,43,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12352,2,16,343.80,171.90,0.13,0.1,784.29,A,1277.98,0,29-11-2010 10:07,PLEASE ONE PERSON METAL SIGN,11,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12356,3,44,3562.25,1187.42,0.07,0.1,2955.05,A,2201.32,0,24-11-2010 12:24,RED RETROSPOT CAKE STAND,16,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12358,3,356,2719.01,906.34,0.01,0.1,278.77,C,931.28,1,29-11-2010 10:56,EDWARDIAN PARASOL NATURAL,11,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12359,6,308,2563.36,427.23,0.02,0.1,303.77,B,348.96,1,10-10-2010 11:16,TOAST ITS - HAPPY BIRTHDAY,61,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12360,5,276,1590.83,318.17,0.02,0.1,210.38,C,141.92,1,25-11-2010 11:04,POSTAGE,15,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12361,3,220,321.35,107.12,0.01,0.1,53.31,D,-231.99,1,03-09-2010 15:19,LUNCH BAG PINK RETROSPOT,98,D,Low,1,WINBACK,Reactivate: 20% comeback code
12369,3,228,1791.15,597.05,0.01,0.1,286.74,C,540.33,1,22-10-2010 13:13,RED HANGING HEART T-LIGHT HOLDER,49,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12370,3,44,774.62,258.21,0.07,0.1,642.58,A,720.31,0,25-03-2010 12:10,POSTAGE,260,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12371,3,235,2179.42,726.47,0.01,0.1,338.51,B,739.45,1,26-10-2010 13:37,ALARM CLOCK BAKELIKE GREEN,45,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12373,2,49,763.05,381.53,0.04,0.1,568.39,B,582.44,0,25-03-2010 13:49,RETRO SPOT MUG,260,B,High,0,UPSWING_UPSELL,Bundle offer on premium related item
12374,3,166,2246.29,748.76,0.02,0.1,493.91,B,862.73,1,14-10-2010 13:31,POSTAGE,57,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12376,2,28,503.15,251.58,0.07,0.1,655.89,A,757.27,0,15-11-2010 12:15,POSTAGE,25,A,Top,0,VIP_LOYALTY,Early access + exclusive bundle
12377,2,208,1798.20,899.10,0.01,0.1,315.55,B,937.95,1,23-11-2010 19:24,RETROSPOT TEA SET CERAMIC 11 PC ,17,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12379,2,112,767.98,383.99,0.02,0.1,250.28,C,290.66,1,13-10-2010 14:46,PLASTERS IN TIN WOODLAND ANIMALS,58,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
12380,7,197,6951.49,993.07,0.04,0.1,1287.97,A,1674.15,1,31-08-2010 14:54,SPACEBOY LUNCH BOX ,101,A,Top,1,VIP_LOYALTY,Early access + exclusive bundle
12388,2,136,1120.45,560.23,0.01,0.1,300.71,B,511.34,1,20-09-2010 12:41,NOEL WOODEN BLOCK LETTERS ,81,B,High,1,HIGH_VALUE_SAVE,Personalized 15% retention voucher
12389,3,253,1433.33,477.78,0.01,0.1,206.78,C,325.83,1,02-11-2010 11:52,MAGNETS PACK OF 4 HOME SWEET HOME,38,C,Medium,1,MID_SAVE,Limited 10% coupon + loyalty enrollment
